Date,HDFCBANK,ICICIBANK,INFY,RELIANCE,TCS
2020-03-16,0.006655996985817356,-0.008688983564395944,-0.026339346320245788,0.010353740236339212,-0.007117224342274325
2020-03-17,-0.0006862823198935386,-0.06145787735718598,-0.02915374035272277,0.02218204453139459,-0.0057231923307265
2020-03-18,-0.0522124000999534,0.03549062954406227,0.012006492455289536,0.028293870838096202,0.037743931286551916
2020-03-19,0.04430499703750905,-0.017378125332610926,0.04049104222230882,-0.025075190146954543,0.01289825940824643
2020-03-20,-0.0674132013984185,-0.04617926763024402,0.01442265934931479,0.03419473706819132,0.05239344014217217
2020-03-23,-0.003834741975177469,-0.029278504043114995,0.02010656632333327,0.026284054376705446,0.02474010893505625
2020-03-24,-0.028109133098923735,0.014231247989362188,0.08752156012800065,0.03412461662236009,0.0011616431274180453
2020-03-25,0.049607333412087465,-0.009466431450419463,-0.03522778989046692,0.05880820716791138,-0.01953008036796491
2020-03-26,0.014759043204166461,-0.0036305861355938884,0.020389486776693437,-0.06201042636159122,-0.005300948971104065
2020-03-27,0.001845347680386855,0.026864529041732175,0.009830439236260327,-0.0040863478857570325,0.01604042332106864
2020-03-30,-0.041640823829440156,-0.026599211359555258,-0.002230073767491708,0.019724615788516656,0.005513742071030003
2020-03-31,0.0006200565769116373,-0.011634253701389215,-0.0146082428701576,0.03144454478084594,-0.0013882030096812326
2020-04-01,0.00043329488663635535,0.010008825355721014,-0.02746148806830751,0.018143842480120173,-0.0381893327311869
2020-04-03,0.0005200557800019573,-0.056277341872400195,-0.012589705420975657,0.021503711111003354,-0.018526873979615464
2020-04-07,0.01746355978505998,0.029156076101024775,0.006014195909088804,0.010271989862369338,0.009556888467543476
2020-04-08,-0.003230570733398076,-0.01542424574010568,-0.010176432477387077,-0.006534254142310527,-0.03750678175356842
2020-04-09,0.001797387264265031,0.02392843377505019,-0.0335335445139754,-0.02704684772723683,0.004922664434395645
